"","Year","Enroll_Percent","Illiteracy_Percent","Institutionalized_per10000","Black_Elect_Count"
"1",1790,1.8,79.9,11.663160023832,NA
"2",1800,1.84913316076044,78.3752220311149,10.2126132143079,NA
"3",1810,1.86932317486994,76.5392138044832,9.22440477909028,NA
"4",1820,1.86799883761588,74.4293996900357,8.68512254714148,NA
"5",1830,1.8525889442856,72.0832040577031,8.58135434742364,NA
"6",1840,1.83052229016647,69.5380812440912,8.89968800889898,NA
"7",1850,1.8,66.8402447338642,11.663160023832,1
"8",1860,1.9,64.0567903445204,9.49833739697377,7
"9",1870,9.9,79.9,23.0368427599211,578
"10",1880,33.8,70,49.583689989945,123
"11",1890,32.9,56.8,17.0884997866577,39
"12",1900,31.1,44.5,66.1478828262731,6
"13",1910,44.8,30.5,77.9068441109131,2
"14",1920,53.5,23,71.3725174615514,NA
"15",1930,60.3,16.4,33.5104264430356,NA
"16",1940,3.24841437918988,11.5,130.576164908401,NA
"17",1950,3.93002451150751,39.8894607001611,142.55213602507,NA
"18",1960,4.81334239235796,36.8017722041733,145.381229834031,NA
"19",1970,5.92653055022397,33.8499591898134,142.090298312834,NA
"20",1980,7.29775151358828,31.1986492492685,148.663381144196,NA
"21",1990,8.9551678109336,28.9953942788483,249.416895717543,NA
"22",1947,10.9247822068682,11,57.5604523071613,NA
"23",1952,13.1829228968862,10.2,58.7286127832215,NA
"24",1959,15.6562435073683,7.5,59.5993009430927,NA
"25",1969,18.2692379008201,3.6,60.2972313121574,NA
"26",1979,20.9463999397475,1.6,60.9471184157981,NA
"27",1848,23.6122234866565,20.430218896213,61.6736767793972,1
"28",1849,26.1912024040529,19.0222194910095,62.6016209283373,1
"29",1851,28.6078305544426,17.639709059813,63.8556653880009,1
"30",1852,30.7866018003314,16.325332277839,65.5605246837704,1
"31",1853,32.6520100042251,15.1130756642745,67.8129044126747,1
"32",1854,34.128868310356,14.007877535694,70.4343504595966,1
"33",1855,35.18062295182,13.0085911353887,73.0902309249189,1
"34",1856,35.8457513673582,12.1140697066501,75.4441213376098,1
"35",1857,36.1713516023179,11.3231574676633,77.1595972266377,1
"36",1858,36.2045217020462,10.633428775947,77.9002341209708,1
"37",1859,35.9923597118903,10.0398897821955,77.418425295519,1
"38",1861,35.5819636771975,9.53723682212444,76.0146846517673,2
"39",1862,35.0204316433149,9.12016623144922,74.1984122714712,2
"40",1863,34.3548616555896,8.78337434588541,72.4794194296541,2
"41",1864,33.6323517593689,8.52155750114854,71.3675174013397,2
"42",1865,32.9,8.32941203295412,71.3725174615514,10
"43",1866,32.2004339338774,8.2016342770177,72.8813149522576,11
"44",1867,31.5583991615849,8.13292056905478,75.7891414832052,135
"45",1868,30.994170794754,8.11796724478091,79.868312731086,527
"46",1869,30.5280239450159,8.1514706399116,84.8911443725919,431
"47",1871,30.1802337240018,8.22812709016238,90.6299520844144,499
"48",1872,29.971075243343,8.34263293124877,96.8570515432453,575
"49",1873,29.9208236146709,8.48968449888632,103.344758425776,512
"50",1874,30.0497539496166,8.66397812879053,109.865388408699,565
"51",1875,30.3781413598115,8.86021015667693,116.191257168706,442
"52",1876,30.9262609568868,9.07307691826105,122.094680382488,335
"53",1877,31.7103730494018,9.29727474925843,127.347973726737,229
"54",1878,32.7117942895479,9.52749998538457,131.724966456758,166
"55",1879,33.8938490638975,9.75844896235502,135.131358364517,138
"56",1881,35.2197130626126,9.98481801588529,137.705183559078,105
"57",1882,36.6525619758555,10.2013034816909,139.608125815336,93
"58",1883,38.1555714937885,10.4026016954874,141.001868908185,82
"59",1884,39.6919173065737,10.5834089929903,142.04809661252,74
"60",1885,41.2247751043733,10.7384217099151,142.906165188584,61
"61",1886,42.7173205773495,10.8623361819774,143.658536708892,58
"62",1887,44.1327294156647,10.9498487448927,144.295003681155,56
"63",1888,45.4352112409395,10.9956557343765,144.799841541315,49
"64",1889,46.6127560983435,10.9944408392492,145.157325725317,43
"65",1891,47.6771344565948,10.9398610228016,145.351731669105,29
"66",1892,48.6411507158702,10.8238050100429,145.367562499267,27
"67",1893,49.5176092763465,10.6379866953044,145.193145833656,19
"68",1894,50.3193145382003,10.3741199729179,144.819982728463,16
"69",1895,51.0590709016085,10.0241144495144,144.239670296868,14
"70",1896,51.7496827667478,9.58506954792016,143.443805652052,13
"71",1897,52.4039545337949,9.0596884845402,142.423985907195,9
"72",1898,53.0346906029267,8.45095313645607,141.204304945133,7
"73",1899,53.6546695260335,7.76184538074937,140.1281049138,7
"74",1901,54.2735422123431,6.99673783508939,139.719929948732,5
"75",1902,54.894885223764,6.17737744809398,140.506403978721,5
"76",1903,55.5215772184701,5.33732149209466,143.01415093256,5
"77",1904,56.1564968546352,4.51035293436431,147.769794739043,5
"78",1905,56.8025227904331,3.73025474217588,155.288728443369,5
"79",1906,57.4625336840376,3.03023645046972,166.017035980416,5
"80",1907,58.1394081936228,2.43957569574029,180.374387910687,5
"81",1908,58.8360249773623,1.98590086959578,198.780402799852,5
"82",1909,59.5552626934301,1.69683472127081,221.65469921358,5
"83",1911,60.3,1.6,249.416895717543,1
